filename	event_label	onset	offset
soundscape_train_bimodal1504.wav	engine_idling	1.243055	5.960128
soundscape_train_unimodal1812.wav	gun_shot	3.543921	5.377554
soundscape_train_unimodal1812.wav	children_playing	3.738818	5.070057
soundscape_train_unimodal1812.wav	street_music	3.945997	5.2825880000000005
soundscape_train_unimodal1812.wav	air_conditioner	4.360382	7.9352940000000025
soundscape_train_unimodal1812.wav	siren	5.20681	8.989612000000003
soundscape_train_unimodal1812.wav	jackhammer	5.522672	6.684738
soundscape_train_bimodal529.wav	engine_idling	2.514418999	3.616677999
soundscape_train_bimodal529.wav	drilling	5.7280739999999986	8.589739999999999
soundscape_train_bimodal1262.wav	dog_bark	0.079678	0.8729290000000001
soundscape_train_bimodal1262.wav	dog_bark	2.89007	3.878797
soundscape_train_bimodal1262.wav	engine_idling	4.580464	7.026910000000001
soundscape_train_bimodal1262.wav	engine_idling	9.014039	10.0
soundscape_train_bimodal1262.wav	car_horn	4.6900830000000004	7.0250330000000005
soundscape_train_bimodal1262.wav	siren	4.904054	7.958398000000001
soundscape_train_bimodal1262.wav	street_music	5.61071	8.991519
soundscape_train_bimodal1262.wav	drilling	7.213305999999998	8.095714000000001
soundscape_train_bimodal1262.wav	children_playing	7.845150999999999	10.0
soundscape_train_unimodal195.wav	drilling	1.023562	4.546362
soundscape_train_unimodal195.wav	drilling	7.726248000000001	8.749882000000001
soundscape_train_unimodal195.wav	dog_bark	2.372941	5.003256
soundscape_train_unimodal195.wav	gun_shot	5.5618820000000015	5.850377000000001
soundscape_train_unimodal195.wav	siren	6.6532100000000005	7.365004000000001
soundscape_train_unimodal195.wav	car_horn	7.698616	9.512623
soundscape_train_uniform1382.wav	engine_idling	3.145932	5.216099
soundscape_train_uniform1382.wav	siren	3.190542	3.6641790000000003
soundscape_train_uniform1382.wav	siren	6.1968250000000005	8.95423
soundscape_train_uniform1382.wav	dog_bark	3.584725	4.1375790000000015
soundscape_train_uniform1382.wav	jackhammer	3.652518	6.089379
soundscape_train_uniform1382.wav	drilling	4.65164	5.233042
soundscape_train_uniform1382.wav	gun_shot	4.980836	6.377177
soundscape_train_uniform1382.wav	car_horn	7.9392580000000015	8.119264999999999
soundscape_train_uniform1382.wav	street_music	8.444407	10.0
soundscape_train_uniform1396.wav	engine_idling	0.31145	3.955057
soundscape_train_uniform1396.wav	siren	1.498946	4.381385
soundscape_train_uniform1396.wav	car_horn	6.143708	10.0
soundscape_train_uniform1396.wav	jackhammer	8.828541000000003	10.000000000000002
soundscape_train_unimodal38.wav	children_playing	4.050254000000002	7.5359060000000015
soundscape_train_unimodal38.wav	dog_bark	5.6302629999999985	6.721007000000001
soundscape_train_uniform228.wav	street_music	2.452807	6.315232
soundscape_train_uniform228.wav	street_music	6.4962849999999985	10.0
